corr,nresp,downsample
0.6415439079933272,62.137,0.6896551724137931
0.6424837100533874,59.457,0.6586206896551724
0.6294235441010542,56.421,0.6275862068965518
0.6144928943052514,53.686,0.596551724137931
0.6024469438842642,50.824,0.5655172413793104
0.5915835183057429,47.921,0.5344827586206897
0.5629823071768589,45.274,0.503448275862069
0.5577632614953335,42.27,0.47241379310344833
0.5420293204853035,39.444,0.4413793103448276
0.5274452081625282,36.651,0.41034482758620694
0.5201524998103702,33.762,0.3793103448275862
0.4981237467274789,30.831,0.34827586206896555
0.48177090707398873,28.115,0.3172413793103448
0.46869603734070264,25.313,0.28620689655172415
0.45580359865204456,22.234,0.2551724137931035
0.41463669593199864,19.501,0.22413793103448276
0.3737091776561084,16.642,0.19310344827586212
0.350087852848535,13.758,0.16206896551724137
0.25493856434352435,10.982,0.13103448275862073
0.21793420439321606,8.277,0.1
0.7456264143817177,91.59,1.0
0.7382764672778808,87.366,0.9689655172413794
0.7302942073389901,84.915,0.9379310344827586
0.7211503661382201,82.058,0.906896551724138
0.7150087380869689,79.241,0.8758620689655172
0.7068451632258611,76.391,0.8448275862068966
0.7004609629010095,73.51,0.8137931034482759
0.6937321651557111,70.721,0.7827586206896552
0.6870924484239889,67.934,0.7517241379310344
0.685211718791783,64.968,0.7206896551724138
0.6711172159891899,62.155,0.6896551724137931
0.6577215696475651,59.455,0.6586206896551724
0.6411331447678588,56.432,0.6275862068965518
0.6210077188313827,53.696,0.596551724137931
0.6125224568326031,50.829,0.5655172413793104
0.5959733282461536,47.928,0.5344827586206897
0.5816939810614442,45.285,0.503448275862069
0.5615610478287726,42.284,0.47241379310344833
0.5331223065513389,39.429,0.4413793103448276
0.5149679767149462,36.646,0.41034482758620694
0.494602720745114,33.77,0.3793103448275862
0.4721070329077708,30.86,0.34827586206896555
0.44156279313011554,28.137,0.3172413793103448
0.40877253371427114,25.307,0.28620689655172415
0.3959252415653994,22.261,0.2551724137931035
0.34615391565096404,19.542,0.22413793103448276
0.3204063335849436,16.64,0.19310344827586212
0.2778651608623991,13.753,0.16206896551724137
0.26821611930807676,10.972,0.13103448275862073
0.18487968972123447,8.281,0.1
0.7309924015786924,91.59,1.0
0.7225812012156467,87.356,0.9689655172413794
0.7152622043099629,84.919,0.9379310344827586
0.7123214593787844,82.038,0.906896551724138
0.7019473227940956,79.28,0.8758620689655172
0.6884318508466308,76.389,0.8448275862068966
0.6806961966969167,73.486,0.8137931034482759
0.6643427231744734,70.725,0.7827586206896552
0.6537928453579046,67.942,0.7517241379310344
0.6471775780007203,64.971,0.7206896551724138
0.6426320728463214,62.176,0.6896551724137931
0.6352427184653395,59.481,0.6586206896551724
0.6211064995805056,56.408,0.6275862068965518
0.6090858209407802,53.657,0.596551724137931
0.5889764978398013,50.84,0.5655172413793104
0.5705562911522633,47.938,0.5344827586206897
0.5435039588666422,45.288,0.503448275862069
0.5245135922433732,42.292,0.47241379310344833
0.5062449465289395,39.409,0.4413793103448276
0.48577972040752615,36.634,0.41034482758620694
0.45959836463756715,33.777,0.3793103448275862
0.4398689798223309,30.859,0.34827586206896555
0.4160257607167682,28.151,0.3172413793103448
0.378647936026955,25.323,0.28620689655172415
0.3523713460366684,22.226,0.2551724137931035
0.319167143222017,19.504,0.22413793103448276
0.29354912980395187,16.638,0.19310344827586212
0.267439581753723,13.754,0.16206896551724137
0.22983827603456672,10.997,0.13103448275862073
0.23154159367306454,8.276,0.1
0.7477110759514167,91.59,1.0
0.730751834416822,87.41,0.9689655172413794
0.7209166530826056,84.955,0.9379310344827586
0.7092710658993447,82.07,0.906896551724138
0.7006129043109995,79.26,0.8758620689655172
0.6951502844572051,76.384,0.8448275862068966
0.6847468326807316,73.472,0.8137931034482759
0.6790018012437556,70.691,0.7827586206896552
0.6698884838131343,67.925,0.7517241379310344
0.6608152287854163,64.963,0.7206896551724138
0.6494616820088494,62.137,0.6896551724137931
0.6397717403693138,59.449,0.6586206896551724
0.6231579661378107,56.431,0.6275862068965518
0.6035695489602018,53.672,0.596551724137931
0.5929187541311737,50.811,0.5655172413793104
0.5824630384437711,47.893,0.5344827586206897
0.573551750361658,45.296,0.503448275862069
0.5500936089200206,42.235,0.47241379310344833
0.5314913734070815,39.405,0.4413793103448276
0.5099344543477273,36.663,0.41034482758620694
0.4827577198200132,33.752,0.3793103448275862
0.4426425955522305,30.819,0.34827586206896555
0.4199706718295219,28.131,0.3172413793103448
0.40978558120982633,25.315,0.28620689655172415
0.38944170357925634,22.248,0.2551724137931035
