corr,nresp,downsample
0.28019275126673676,16.638,0.19310344827586212
0.24644678029212583,13.754,0.16206896551724137
0.21697551719105324,10.997,0.13103448275862073
0.17264384052540105,8.276,0.1
0.689104527904796,91.59,1.0
0.6769358959599509,87.41,0.9689655172413794
0.671422371763411,84.955,0.9379310344827586
0.6559054069798372,82.07,0.906896551724138
0.6427254757881268,79.26,0.8758620689655172
0.634884537225429,76.384,0.8448275862068966
0.6260411147466887,73.472,0.8137931034482759
0.6152975541136644,70.691,0.7827586206896552
0.6059395747431153,67.925,0.7517241379310344
0.594690485577168,64.963,0.7206896551724138
0.5869719486478742,62.137,0.6896551724137931
0.5721221416169067,59.449,0.6586206896551724
0.5460936361465828,56.431,0.6275862068965518
0.5386971752924358,53.672,0.596551724137931
0.5284856411786025,50.811,0.5655172413793104
0.5027615520865624,47.893,0.5344827586206897
0.49184577744151364,45.296,0.503448275862069
0.467505546943098,42.235,0.47241379310344833
0.44362023678087675,39.405,0.4413793103448276
0.4389269064773107,36.663,0.41034482758620694
0.41842538311228117,33.752,0.3793103448275862
0.3993612149356052,30.819,0.34827586206896555
0.3840921746245281,28.131,0.3172413793103448
0.3520904571872941,25.315,0.28620689655172415
0.33721187988365386,22.248,0.2551724137931035
0.3176044158869677,19.499,0.22413793103448276
0.3035288430345794,16.654,0.19310344827586212
0.2772345286979648,13.767,0.16206896551724137
0.2056315582862969,10.994,0.13103448275862073
0.1582593743505572,8.328,0.1
0.6823388506411727,91.59,1.0
0.6783043971371411,87.397,0.9689655172413794
0.6749445412885874,84.927,0.9379310344827586
0.6665066514103933,82.053,0.906896551724138
0.6560242154695193,79.281,0.8758620689655172
0.6506844401609162,76.402,0.8448275862068966
0.6398510422108393,73.509,0.8137931034482759
0.6313117747965046,70.694,0.7827586206896552
0.6194040356333721,67.966,0.7517241379310344
0.6022209707743589,64.976,0.7206896551724138
0.5987575054936768,62.177,0.6896551724137931
0.5810607649268333,59.456,0.6586206896551724
0.5710396524454705,56.436,0.6275862068965518
0.5652389364890752,53.69,0.596551724137931
0.5500254057792795,50.813,0.5655172413793104
0.5410246461160885,47.955,0.5344827586206897
0.5373401048345431,45.295,0.503448275862069
0.5367456512621591,42.27,0.47241379310344833
0.5156873288652133,39.43,0.4413793103448276
0.5030256755706046,36.628,0.41034482758620694
0.47563754654638396,33.765,0.3793103448275862
0.43197632525692137,30.866,0.34827586206896555
0.4137041122896523,28.131,0.3172413793103448
0.3834626809035092,25.298,0.28620689655172415
0.35683422742228693,22.275,0.2551724137931035
0.3229144598876227,19.495,0.22413793103448276
0.2880554531855847,16.659,0.19310344827586212
0.24208842185882895,13.778,0.16206896551724137
0.25016056974538486,10.966,0.13103448275862073
0.17618587538000427,8.251,0.1
0.686356061558049,91.59,1.0
0.6835327297627855,87.365,0.9689655172413794
0.6811456228534184,84.872,0.9379310344827586
0.6661007758924836,82.014,0.906896551724138
0.6503803555472106,79.28,0.8758620689655172
0.6366031310896635,76.423,0.8448275862068966
0.6289443654008572,73.53,0.8137931034482759
0.6171694645284855,70.711,0.7827586206896552
0.6072991383175477,67.963,0.7517241379310344
0.6016915519302168,64.982,0.7206896551724138
0.587410103521635,62.205,0.6896551724137931
0.5749495069872838,59.474,0.6586206896551724
0.5632851624325591,56.421,0.6275862068965518
0.5495947619398867,53.664,0.596551724137931
0.5337135854103664,50.794,0.5655172413793104
0.5260095491417142,47.977,0.5344827586206897
0.4993926425959076,45.318,0.503448275862069
0.4818138011366917,42.293,0.47241379310344833
0.47159044022424945,39.433,0.4413793103448276
0.4718063094386785,36.622,0.41034482758620694
0.45077362063031523,33.797,0.3793103448275862
0.4231945018624549,30.898,0.34827586206896555
0.3883807318615424,28.142,0.3172413793103448
0.3639694562617599,25.305,0.28620689655172415
0.33137792958427986,22.284,0.2551724137931035
0.3194222979965243,19.502,0.22413793103448276
0.2844889784988434,16.645,0.19310344827586212
0.2369470131158574,13.765,0.16206896551724137
0.1913623928198508,10.956,0.13103448275862073
0.18228511604200884,8.231,0.1
0.661637096974885,91.59,1.0
0.6592049084260249,87.371,0.9689655172413794
0.6544590721684187,84.888,0.9379310344827586
0.645592219668626,82.018,0.906896551724138
0.6391874849533834,79.276,0.8758620689655172
0.6315732122302775,76.419,0.8448275862068966
0.6280225406550665,73.506,0.8137931034482759
0.6125190464737634,70.723,0.7827586206896552
0.5973929073051475,67.944,0.7517241379310344
0.6050852379519317,64.989,0.7206896551724138
0.6028988839322436,62.195,0.6896551724137931
0.587175037974195,59.465,0.6586206896551724
0.5857984075047974,56.422,0.6275862068965518
0.5696452437506326,53.672,0.596551724137931
0.5574278338116079,50.834,0.5655172413793104
0.548959566890406,47.964,0.5344827586206897
0.5438537293746661,45.306,0.503448275862069
